kernel,scoring_method,ori_mean_score,ori_std,scale_mean_score,scale_std_score,norm_mean_score,norm_std_score,bin_mean_score,bin_std_score,rowsm_mean_score,rowsm_std_score,fullsm_mean_score,fullsm_std_score
rbf,recall,1.0,0.0,0.818131868132,0.369742254309,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rbf,roc_auc,0.413011988012,0.391839875441,0.334310689311,0.324593526774,0.48004995005,0.398317261065,0.536286213786,0.144355289088,0.5,0.0,0.5,0.0
sigmoid,accuracy,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
sigmoid,average_precision,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252,0.782731884058,0.00639721702252
sigmoid,f1,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112,0.722402159244,0.0103577164112
sigmoid,f1_micro,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
sigmoid,f1_macro,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561,0.361201079622,0.00517885820561
sigmoid,f1_weighted,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051,0.408525376988,0.0152313374051
sigmoid,f1_samples,,,,,,,,
sigmoid,log_loss,,,,,,,,
sigmoid,precision,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045,0.565463768116,0.012794434045
sigmoid,recall,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
sigmoid,roc_auc,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
precomputed,accuracy,,,,,,,,
precomputed,average_precision,,,,,,,,
precomputed,f1,,,,,,,,
precomputed,f1_micro,,,,,,,,
precomputed,f1_macro,,,,,,,,
precomputed,f1_weighted,,,,,,,,
precomputed,f1_samples,,,,,,,,
precomputed,log_loss,,,,,,,,
precomputed,precision,,,,,,,,
precomputed,recall,,,,,,,,
precomputed,roc_auc,,,,,,,,
